e,top,eff,perf,size,lr,m,d
0,0.9708333333333333,0.9708333333333333,0.014861860930579623,289345,0.0018185995474967833,0.8870511693128661,0.07916070590540854
1,0.9743333333333334,0.9743333333333334,0.02732526456715003,162190,0.02164791990156459,0.18395633831604177,0.07461851414499686
2,0.9745,0.9745,0.027364539905042187,162190,0.02164791990156459,0.18395633831604177,0.07461851414499686
3,0.9745,0.9745,0.027364539905042187,162190,0.02164791990156459,0.18395633831604177,0.07461851414499686
4,0.9745,0.9745,0.027364539905042187,162190,0.02164791990156459,0.18395633831604177,0.07461851414499686
5,0.9755,0.9745,0.027364539905042187,162190,0.02164791990156459,0.18395633831604177,0.07461851414499686
6,0.9760833333333333,0.9398333333333333,0.027421220394692903,120055,0.06887058858829063,0.42674794578628095,0.07846097087078958
7,0.9760833333333333,0.949,0.029675251101042487,120055,0.06887058858829063,0.42674794578628095,0.07846097087078958
8,0.9760833333333333,0.949,0.029675251101042487,120055,0.06887058858829063,0.42674794578628095,0.07846097087078958
9,0.9765,0.9493333333333334,0.029760618480917458,120055,0.06887058858829063,0.42674794578628095,0.07846097087078958
10,0.9780833333333333,0.9525,0.030583957165712473,120055,0.06887058858829063,0.42674794578628095,0.07846097087078958
11,0.9780833333333333,0.9525,0.030583957165712473,120055,0.06887058858829063,0.42674794578628095,0.07846097087078958
12,0.9781666666666666,0.9525,0.030583957165712473,120055,0.06887058858829063,0.42674794578628095,0.07846097087078958
13,0.9781666666666666,0.9525,0.030583957165712473,120055,0.06887058858829063,0.42674794578628095,0.07846097087078958
14,0.9781666666666666,0.9525,0.030583957165712473,120055,0.06887058858829063,0.42674794578628095,0.07846097087078958
15,0.9781666666666666,0.9535,0.030848661605491715,120055,0.06887058858829063,0.42674794578628095,0.07846097087078958
16,0.9783333333333334,0.9535,0.030848661605491715,120055,0.06887058858829063,0.42674794578628095,0.07846097087078958
17,0.9784166666666667,0.9570833333333333,0.0318161399499598,120055,0.06887058858829063,0.42674794578628095,0.07846097087078958
18,0.9785,0.9570833333333333,0.0318161399499598,120055,0.06887058858829063,0.42674794578628095,0.07846097087078958
19,0.97875,0.9570833333333333,0.0318161399499598,120055,0.06887058858829063,0.42674794578628095,0.07846097087078958
